,numWords,numNouns,numAdj,numAdv,numNumbers,simRatio,wordMatch,semanticSim,w2vSimilarity,SIFSimilarity_Glove50000,SIFSimilarity_Glove50000_skip,SIFSimilarity_GN300000_skip,numNoContent,aveNoContent
Geometry-Parallels-2 (40),1.95454545455,1.22727272727,0.454545454545,0.0454545454545,0.0,0.654978354978,1.45887445887,0.82665598935,0.517415434427,0.092554295,0.098981677,0.151048852,0,0.0
Geometry-Chirality-1- (38),2.86363636364,1.86363636364,0.454545454545,0.0,0.0454545454545,0.0674953376708,0.327485380117,0.335051679658,0.188508830066,0.42656575,0.42656575,0.639506566,3,0.130434782609
Geometry-axialsymmetry-vertical- (28),1.63636363636,0.636363636364,0.636363636364,0.0909090909091,0.0,0.122280701754,0.173684210526,0.169038261092,0.226168127116,0.463268565,0.465719721,0.541445931,2,0.0869565217391
Geometry-Rightangle-1 (13),2.40909090909,1.27272727273,0.454545454545,0.318181818182,0.136363636364,0.171861471861,0.354978354978,0.321692650752,0.19758425075,0.469019487,0.435422249,0.558714363,0,0.0
Geometry-Circle-2- (18),2.77272727273,2.04545454545,0.454545454545,0.0,0.0,0.46560971496,1.30735930736,0.613991942382,0.287627319263,0.215589874,0.221338937,0.317019273,0,0.0
Transformation-axialsymmetry-horizontal (33),2.13636363636,1.27272727273,0.363636363636,0.0909090909091,0.0,0.0596927843681,0.134199134199,0.162642104986,0.198663494189,0.518488413,0.518488413,0.604021656,0,0.0
Transformation-axialsymmetry-mixed (35),2.18181818182,1.36363636364,0.272727272727,0.0,0.0,0.0603586889301,0.134199134199,0.164470249888,0.18068911005,0.546050049,0.528537782,0.627342233,0,0.0
Geometry-Distance (16),3.13636363636,1.95454545455,0.318181818182,0.681818181818,0.0,0.538528138528,1.74891774892,0.652227281407,0.296656317207,0.188105604,0.19142024,0.264082215,0,0.0
Topology-Holes (3),2.09090909091,1.68181818182,0.318181818182,0.0,0.0,0.291609977324,0.640692640693,0.534038648906,0.281075594776,0.338090088,0.348655403,0.518007897,0,0.0
Geometry-Chirality-4 (44),3.04545454545,1.68181818182,0.590909090909,0.136363636364,0.0909090909091,0.0527006855578,0.247619047619,0.284040047343,0.163096075915,0.494356739,0.494356739,0.688389647,1,0.0416666666667
Topology-Closure (5),2.09090909091,1.31818181818,0.272727272727,0.0454545454545,0.0,0.151937744795,0.376623376623,0.266752553231,0.180746260859,0.50790768,0.50790768,0.648123656,0,0.0
Transformation-homothety (36),2.86363636364,1.54545454545,0.590909090909,0.0,0.136363636364,0.0956022813166,0.307359307359,0.299932267618,0.181263984405,0.434385727,0.434385727,0.633360381,0,0.0
Geometry-Parallels-1- (37),1.95454545455,1.5,0.136363636364,0.0909090909091,0.0,0.394853294853,0.766233766234,0.489191156574,0.323342764217,0.37805795,0.377186234,0.402674668,0,0.0
Geometry-Trapezoid (26),1.90909090909,1.22727272727,0.318181818182,0.0454545454545,0.181818181818,0.0453634085213,0.12865497076,0.242415050586,0.171914712452,0.632910498,0.564909372,0.700018792,3,0.130434782609
Geometry-Chirality-3 (42),2.86363636364,1.27272727273,0.727272727273,0.136363636364,0.0909090909091,0.122763321335,0.4,0.343188506515,0.182759788822,0.406838908,0.406838908,0.648113568,1,0.0416666666667
Geometry-line-1 (8),2.27272727273,1.04545454545,0.545454545455,0.227272727273,0.0,0.518841475984,1.33333333333,0.60083212155,0.374363834911,0.241340209,0.162932916,0.31256529,0,0.0
Geometry-Rectangle (24),1.81818181818,1.36363636364,0.181818181818,0.0454545454545,0.0909090909091,0.119562976706,0.181818181818,0.304009971629,0.247950604181,0.514336387,0.514336387,0.634806435,0,0.0
Geometry-Square (23),1.63636363636,1.36363636364,0.136363636364,0.0909090909091,0.0,0.46753968254,0.804761904762,0.578425878838,0.438738544908,0.275980849,0.219603096,0.381553081,1,0.0454545454545
Geometry-axialsymmetry-randomaxis (30),1.81818181818,0.818181818182,0.5,0.0909090909091,0.0,0.060022675737,0.0904761904762,0.111862953072,0.189754405201,0.569949338,0.548970257,0.630352076,1,0.0454545454545
Transformation-translation (31),2.36363636364,1.5,0.272727272727,0.0,0.0909090909091,0.069906548478,0.17316017316,0.298976232012,0.183815485549,0.47221989,0.47221989,0.661113159,0,0.0
Geometry-Rightangle-2 (14),2.45454545455,1.5,0.363636363636,0.0909090909091,0.0909090909091,0.0934240362812,0.220779220779,0.259399694903,0.17250309689,0.505315269,0.414029373,0.555561532,0,0.0
Topology-Connexity (6),2.54545454545,0.863636363636,0.0454545454545,0.136363636364,1.40909090909,0.471717171717,1.29004329004,0.578042381175,0.363938452103,0.409623015,0.411403985,0.511074781,0,0.0
Geometry-axialsymmetry-horizontal (29),1.86363636364,0.772727272727,0.590909090909,0.181818181818,0.0,0.0987969924812,0.157894736842,0.132194413864,0.19248186465,0.511074835,0.513778935,0.580815688,2,0.0909090909091
Topology-Belongsto (7),2.13636363636,1.90909090909,0.0909090909091,0.0,0.0,0.737064522779,1.5670995671,0.813441088355,0.445731463386,0.142693303,0.23544395,0.189180865,0,0.0
Geometry-Quadrilateral (12),1.90909090909,1.09090909091,0.318181818182,0.0909090909091,0.318181818182,0.254091939806,0.480519480519,0.432598326786,0.281877976824,0.471276621,0.45211587,0.519205867,0,0.0
Geometry-Chirality-2 (41),2.90909090909,1.59090909091,0.545454545455,0.0454545454545,0.0,0.122510822511,0.411255411255,0.370485705953,0.211211532745,0.387478747,0.387478747,0.586346454,0,0.0
Series-Geometric (45),3.77272727273,1.36363636364,0.272727272727,0.545454545455,1.0,0.0925969172722,0.398268398268,0.244407660195,0.158630088351,0.46371058,0.46371058,0.609143901,0,0.0
Transformation-pointsymmetry (32),3.04545454545,1.81818181818,0.454545454545,0.0909090909091,0.0909090909091,0.0621686634674,0.21645021645,0.289131783216,0.153903619179,0.485022022,0.485022022,0.632627236,0,0.0
