,numWords,numNouns,numAdj,numAdv,numNumbers,simRatio,wordMatch,semanticSim,w2v_similarity,SIF_Similarity_onlyNeededVec,numNoContent,aveNoContent
diff(22),3.26666666667,1.66666666667,0.933333333333,0.333333333333,0.0666666666667,0.0985487528345,0.342857142857,0.275503960816,0.163975956273,0.628687007465,0,0.0
diff(4),3.13333333333,2.0,0.333333333333,0.0666666666667,0.0,0.427008177008,1.33333333333,0.603391451725,0.278192017382,0.351915009539,0,0.0
diff(3),2.66666666667,2.2,0.266666666667,0.0,0.0,0.341723356009,1.0,0.585054813407,0.279233839881,0.393737457893,0,0.0
diff(37),2.33333333333,1.6,0.0,0.0666666666667,0.2,0.266946334089,0.647619047619,0.445226730088,0.27652105501,0.474258794407,0,0.0
diff(14),2.73333333333,1.53333333333,0.533333333333,0.133333333333,0.2,0.071179138322,0.2,0.31645672283,0.166584280897,0.634820571035,0,0.0
diff(16),3.06666666667,1.73333333333,0.4,0.533333333333,0.0,0.304716553288,0.87619047619,0.468314406136,0.211734749082,0.424898408849,0,0.0
diff(43),3.26666666667,1.46666666667,0.533333333333,0.333333333333,0.266666666667,0.196606198035,0.657142857143,0.363771355054,0.217869921573,0.427125171803,0,0.0
diff(10),2.26666666667,1.06666666667,0.266666666667,0.0666666666667,0.0,0.394126984127,1.10476190476,0.60550557407,0.368433492874,0.336401353767,0,0.0
diff(28),2.46666666667,1.13333333333,0.866666666667,0.133333333333,0.0666666666667,0.043537414966,0.0952380952381,0.154485525478,0.149252352209,0.633714002616,0,0.0
diff(41),3.26666666667,1.8,0.666666666667,0.133333333333,0.0,0.201081563939,0.733333333333,0.431008457072,0.23342330821,0.530284153033,0,0.0
diff(40),2.46666666667,1.46666666667,0.266666666667,0.2,0.133333333333,0.390544217687,0.980952380952,0.520397587529,0.299749621928,0.380193295938,0,0.0
diff(9),2.53333333333,1.4,0.266666666667,0.0666666666667,0.0666666666667,0.166893424036,0.409523809524,0.274179826392,0.220452300741,0.526524114954,0,0.0
diff(13),2.6,1.66666666667,0.466666666667,0.333333333333,0.133333333333,0.161541950113,0.447619047619,0.395652874318,0.202767402332,0.545173391996,0,0.0
diff(5),2.2,1.13333333333,0.333333333333,0.0666666666667,0.0,0.188571428571,0.447619047619,0.304850280412,0.218647147688,0.596345029686,0,0.0
diff(25),2.46666666667,1.6,0.466666666667,0.0666666666667,0.2,0.0705825920112,0.208791208791,0.230930490427,0.17713673137,0.620690747345,1,0.0666666666667
diff(33),3.0,1.66666666667,0.466666666667,0.266666666667,0.0,0.0650869236584,0.2,0.269499439494,0.150983774152,0.619308918839,0,0.0
diff(44),3.26666666667,1.6,0.533333333333,0.4,0.266666666667,0.102451041022,0.342857142857,0.311524438369,0.14863939552,0.643574052232,0,0.0
diff(27),3.0,1.86666666667,0.466666666667,0.133333333333,0.0,0.082350718065,0.285714285714,0.273453478656,0.175774657252,0.601349101196,0,0.0
diff(7),2.53333333333,1.93333333333,0.266666666667,0.0,0.0,0.514217687075,1.26666666667,0.635783251921,0.289846224957,0.355595639317,0,0.0
diff(31),2.93333333333,1.33333333333,0.4,0.0666666666667,0.133333333333,0.0623053665911,0.190476190476,0.296146367247,0.148108004817,0.677996609786,0,0.0
diff(21),3.26666666667,2.06666666667,0.466666666667,0.266666666667,0.0666666666667,0.176335463478,0.590476190476,0.414821998217,0.182885048062,0.521142612037,0,0.0
diff(19),2.8,1.73333333333,0.266666666667,0.0,0.266666666667,0.364021164021,0.961904761905,0.536148154775,0.228434070849,0.366933371259,0,0.0
diff(23),1.6,1.53333333333,0.0,0.0,0.0,0.419682539683,0.714285714286,0.594593579702,0.434554047605,0.380960671318,0,0.0
diff(35),2.86666666667,1.6,0.6,0.133333333333,0.0,0.0630612244898,0.161904761905,0.27583727156,0.166084500553,0.648554865603,0,0.0
